Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2022-05-02,1130,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 5,4.0,270,,,,,,,
2022-05-02,1857,Attica,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 7,7.0,179,,,,,,,
2022-05-02,1205,Attica,3 113.10 WEAPON 105.13 GANGS 2,2.0,45,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - May 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of June 7, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 Guilty2 Guilty3 Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-05-02,1410,Attica,3 113.10 WEAPON 1,1.0,120,,,,,,,
2022-05-02,1130,Attica,3 108.13 ESCAPE ITEMS 1,1.0,179,,,,,,,
2022-05-02,855,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-05-02,1230,Cayuga,3 101.20 LEWD CONDUCT 107.10 INTERFERENCE 2,2.0,30,,,,,,,
2022-05-02,1115,Cayuga,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120,,,,,,,
2022-05-02,1945,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,29,,,,,,,
2022-05-02,800,Clinton,3 114.10 SMUGGLING 113.23 CONTRABAND 113.33 DRUG POSSES 3,3.0,31,,,,,,,
2022-05-02,1945,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,3.0,111,,,,,,,
2022-05-02,1945,Clinton,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 4,4.0,8,,,,,,,
2022-05-02,1945,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2022-05-02,1020,Collins,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 5,5.0,30,,,,,,,
2022-05-02,1245,Collins,3 107.10 INTERFERENCE 109.12 MOVEMENT VIO 109.10 OUT OF PLACE 4,3.0,3,,,,,,,
2022-05-02,1215,Coxsackie,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,120,,,,,,,
2022-05-02,1217,Elmira,3 102.10 THREATS 180.11 FACIL CORRESPOND 107.11 HARASSMENT 3,3.0,50,,,,,,,
2022-05-02,550,Five Points,3 100.11 ASSAULT ON STAFF 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,120,,,,,,,
2022-05-02,1415,Franklin,3 102.10 THREATS 106.10 DIRECT ORDER 109.12 MOVEMENT VIO 3,3.0,60,,,,,,,
2022-05-02,1545,Franklin,3 102.10 THREATS 106.10 DIRECT ORDER 2,2.0,40,,,,,,,
2022-05-02,1700,Gouverneur,3 102.10 THREATS 106.10 DIRECT ORDER 109.15 REFUSE DBL CELLING 4,3.0,45,,,,,,,
2022-05-02,1725,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120,,,,,,,
2022-05-02,1725,Great Meadow,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 7,7.0,365,,,,,,,
2022-05-02,805,Great Meadow,3 100.10 ASSAULT ON I/I 113.10 WEAPON 100.13 FIGHTING 4,4.0,180,,,,,,,
2022-05-02,1725,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60,,,,,,,
2022-05-02,1230,Green Haven,3 113.10 WEAPON 2,1.0,194,,,,,,,
2022-05-02,1920,Greene,3 102.10 THREATS 104.11 VIOLENT CONDUCT 3,2.0,30,,,,,,,
2022-05-02,1700,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2022-05-02,1604,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 4,4.0,29,,,,,,,
