Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2023-01-02,1700,Orleans,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,5.0,60,,,,,,,
2023-01-02,1920,Shawangunk,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 106.10 DIRECT ORDER 4,4.0,210,,,,,,,
2023-01-02,1240,Upstate,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,210,,,,,,,
2023-01-02,1240,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 109.12 MOVEMENT VIO 5,4.0,60,,,,,,,
2023-01-02,1128,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,45,,,,,,,
2023-01-02,1508,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,3.0,45,,,,,,,
2023-01-02,1128,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,75,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - January 2023 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 30, 2023",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2023-01-02,1120,Wende,3 113.11 ALTERED ITEM 2,1.0,15,,,,,,,
2023-01-02,1615,Wyoming,3 113.10 WEAPON 114.10 SMUGGLING 113.11 ALTERED ITEM 3,3.0,60,,,,,,,
2023-01-03,905,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,30,,,,,,,
2023-01-03,905,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60,,,,,,,
2023-01-03,905,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,30,,,,,,,
2023-01-03,750,Albion,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 7,7.0,44,,,,,,,
2023-01-03,1155,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 5,4.0,15,,,,,,,
2023-01-03,1646,Bare Hill,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 5,5.0,75,,,,,,,
2023-01-03,1110,Cape Vincent,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,60,,,,,,,
2023-01-03,1400,Cayuga,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,30,,,,,,,
2023-01-03,1510,Collins,3 107.11 HARASSMENT 3,1.0,14,,,,,,,
2023-01-03,1050,Collins,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,100,,,,,,,
2023-01-03,740,Coxsackie,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 6,6.0,87,,,,,,,
2023-01-03,1921,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,20,,,,,,,
2023-01-03,820,Elmira,3 113.10 WEAPON 105.13 GANGS 114.10 SMUGGLING 3,3.0,90,,,,,,,
2023-01-03,840,Fishkill,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,3.0,36,,,,,,,
2023-01-03,1745,Five Points,3 113.10 WEAPON 114.10 SMUGGLING 113.11 ALTERED ITEM 3,3.0,365,,,,,,,
2023-01-03,2050,Five Points,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 6,6.0,30,,,,,,,
2023-01-03,1100,Franklin,3 102.10 THREATS 1,1.0,45,,,,,,,
2023-01-03,2115,Franklin,3 102.10 THREATS 1,1.0,48,,,,,,,
2023-01-03,1730,Franklin,3 100.10 ASSAULT ON INCAR INDIV 1,1.0,20,,,,,,,
2023-01-03,1935,Gouverneur,3 102.10 THREATS 109.15 REFUSE DBL CELLING 3,2.0,14,,,,,,,
2023-01-03,1832,Gouverneur,3 102.10 THREATS 104.13 CREATE DISTURB 107.11 HARASSMENT 3,3.0,15,,,,,,,
2023-01-03,955,Great Meadow,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,365,,,,,,,
2023-01-03,1245,Great Meadow,3 113.10 WEAPON 113.23 CONTRABAND 7,2.0,365,,,,,,,
2023-01-03,1000,Great Meadow,3 101.10 SEX OFFENSE 101.22 STALKING 102.10 THREATS 5,5.0,270,,,,,,,
2023-01-03,1535,Great Meadow,3 114.10 SMUGGLING 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 5,4.0,30,,,,,,,
2023-01-03,2110,Great Meadow,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,365,,,,,,,
2023-01-03,1148,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 5,4.0,45,,,,,,,
2023-01-03,1210,Mid-State,3 113.10 WEAPON 113.23 CONTRABAND 3,2.0,60,,,,,,,
2023-01-03,1200,Mid-State,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,45,,,,,,,
2023-01-03,1635,Mohawk,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,62,,,,,,,
2023-01-03,745,Mohawk,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,5.0,89,,,,,,,
2023-01-03,1305,Mohawk,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 5,5.0,182,,,,,,,
