New York State Department of Corrections and Community Supervision,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-01,2305,Wyoming,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,6,6,60
2022-04-02,1800,Bare Hill,3,113.10,WEAPON,114.10,SMUGGLING,,,2,2,180
2022-04-02,1128,Cayuga,3,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,107.11,HARASSMENT,4,3,30
2022-04-02,0705,Cayuga,3,102.10,THREATS,104.12,DEMONSTRATION,106.10,DIRECT ORDER,6,5,60
2022-04-02,0705,Cayuga,3,102.10,THREATS,104.11,VIOLENT CONDUCT,104.12,DEMONSTRATION,6,6,60
2022-04-02,1610,Collins,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,,,2,2,6
2022-04-02,1936,Collins,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,6,6,90
2022-04-02,2045,Eastern,3,113.10,WEAPON,102.10,THREATS,,,2,2,92
2022-04-02,1115,Elmira,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,6,6,548
2022-04-02,1630,Five Points,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,6,6,203
2022-04-02,1620,Great Meadow,3,102.10,THREATS,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,5,4,60
2022-04-02,0815,Great Meadow,3,113.10,WEAPON,102.10,THREATS,113.23,CONTRABAND,5,4,180
2022-04-02,1000,Green Haven,3,113.10,WEAPON,,,,,2,1,221
2022-04-02,1235,Marcy,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,107.10,INTERFERENCE,5,5,123
2022-04-02,1040,Mohawk,3,113.10,WEAPON,113.11,ALTERED ITEM,,,2,2,90
2022-04-02,0755,Sing Sing,3,118.22,UNHYGIENIC ACT,,,,,2,1,100
2022-04-02,1950,Wende,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,2,2,2
2022-04-02,1950,Wende,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,90
2022-04-02,1749,Wyoming,3,113.10,WEAPON,106.10,DIRECT ORDER,113.23,CONTRABAND,7,6,182
2022-04-03,1010,Auburn,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,120
2022-04-03,2115,Bedford Hills,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,107.10,INTERFERENCE,4,4,120
2022-04-03,1650,Clinton,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,104.11,VIOLENT CONDUCT,5,3,365
2022-04-03,1700,Collins,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,,,2,2,15
2022-04-03,1755,Coxsackie,3,100.11,ASSAULT ON STAFF,100.11,ASSAULT ON STAFF,118.10,ARSON,8,8,90
2022-04-03,2035,Franklin,3,102.10,THREATS,106.10,DIRECT ORDER,104.13,CREATE DISTURB,3,3,30
2022-04-03,1435,Great Meadow,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,5,3,100
2022-04-03,0754,Greene,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,15
2022-04-03,0754,Greene,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,15
2022-04-03,1600,Mid-State,3,100.11,ASSAULT ON STAFF,102.10,THREATS,104.11,VIOLENT CONDUCT,6,5,60
2022-04-03,1700,Mid-State,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,94
2022-04-03,0604,Mid-State,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,104.11,VIOLENT CONDUCT,9,6,9
2022-04-03,1651,Mohawk,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,90
2022-04-03,1505,Ulster,3,102.10,THREATS,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,6,6,30
2022-04-03,1617,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,60
2022-04-03,1510,Upstate,3,106.10,DIRECT ORDER,106.10,DIRECT ORDER,106.10,DIRECT ORDER,9,8,90
2022-04-04,1708,Bare Hill,3,102.10,THREATS,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,3,3,45
2022-04-04,1000,Cayuga,3,114.10,SMUGGLING,113.34,DRUG USE,180.11,FACIL CORRESPOND,4,3,45
2022-04-04,1108,Clinton,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,104.13,CREATE DISTURB,5,4,93
2022-04-04,1608,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,110
2022-04-04,0730,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,3,45
2022-04-04,0730,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,3,2
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-04,1608,Clinton,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,5,199
2022-04-04,1015,Clinton,3,102.10,THREATS,106.10,DIRECT ORDER,107.10,INTERFERENCE,3,3,47
2022-04-04,0950,Collins,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,112.22,OBSTRUCT VISIB,3,3,60
2022-04-04,1545,Collins,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,30
2022-04-04,1545,Collins,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,30
2022-04-04,1910,Collins,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,3,3,60
2022-04-04,1610,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,4,3,60
2022-04-04,1610,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,15
2022-04-04,1610,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,4,3,60
2022-04-04,1610,Coxsackie,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,105.13,GANGS,4,4,15
2022-04-04,0946,Eastern,3,102.10,THREATS,106.10,DIRECT ORDER,107.11,HARASSMENT,4,4,90
2022-04-04,1630,Eastern,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,7,7,135
2022-04-04,1310,Elmira,3,113.10,WEAPON,114.10,SMUGGLING,,,2,2,120
2022-04-04,0844,Fishkill,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,107.10,INTERFERENCE,4,3,60
2022-04-04,0850,Five Points,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,107.10,INTERFERENCE,4,4,29
2022-04-04,1000,Five Points,3,113.10,WEAPON,113.23,CONTRABAND,113.11,ALTERED ITEM,3,3,253
2022-04-04,1025,Franklin,3,102.10,THREATS,106.10,DIRECT ORDER,104.13,CREATE DISTURB,3,3,34
2022-04-04,2250,Franklin,3,102.10,THREATS,106.10,DIRECT ORDER,,,2,2,60
2022-04-04,1335,Franklin,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,2,2,80
2022-04-04,0830,Gouverneur,3,113.10,WEAPON,121.13,UNAUTH PHONE USE,113.23,CONTRABAND,5,5,278
2022-04-04,2006,Great Meadow,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,6,4,90
2022-04-04,1815,Green Haven,3,100.11,ASSAULT ON STAFF,113.10,WEAPON,106.10,DIRECT ORDER,4,3,123
