New York State Department of Corrections and Community Supervision,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-06,2000,Lakeview,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,,,2,2,180
2022-04-06,0935,Marcy,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,4,4,60
2022-04-06,1945,Mid-State,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,3,3,15
2022-04-06,1025,Mohawk,3,114.10,SMUGGLING,113.23,CONTRABAND,,,2,2,60
2022-04-06,1715,Orleans,3,105.13,GANGS,114.10,SMUGGLING,113.23,CONTRABAND,3,3,90
2022-04-06,0820,Orleans,3,114.10,SMUGGLING,113.23,CONTRABAND,,,2,2,30
2022-04-06,0925,Riverview,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,102
2022-04-06,0815,Sing Sing,3,113.10,WEAPON,,,,,1,1,91
2022-04-06,0850,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,60
2022-04-06,0850,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,60
2022-04-06,0850,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,30
2022-04-06,1450,Wende,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,60
2022-04-06,1450,Wende,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,3
2022-04-06,1300,Woodbourne,3,114.10,SMUGGLING,113.23,CONTRABAND,,,3,2,96
2022-04-07,1620,Attica,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,60
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-07,1955,Attica,3,113.10,WEAPON,113.23,CONTRABAND,113.11,ALTERED ITEM,3,3,102
2022-04-07,1745,Attica,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,6,6,60
2022-04-07,1003,Auburn,3,114.10,SMUGGLING,113.23,CONTRABAND,116.11,TAMPER WITH PROP,3,3,90
2022-04-07,1125,Auburn,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,104.13,CREATE DISTURB,4,4,90
2022-04-07,0930,Auburn,3,113.10,WEAPON,,,,,3,1,120
2022-04-07,1815,Auburn,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,107.10,INTERFERENCE,4,3,60
2022-04-07,1611,Auburn,3,114.10,SMUGGLING,113.33,DRUG POSSES,,,2,2,150
2022-04-07,0306,Auburn,3,101.22,STALKING,106.10,DIRECT ORDER,101.20,LEWD CONDUCT,5,4,76
2022-04-07,0915,Bare Hill,3,102.10,THREATS,106.10,DIRECT ORDER,107.11,HARASSMENT,4,4,61
2022-04-07,1235,Bedford Hills,3,102.10,THREATS,107.11,HARASSMENT,,,3,2,90
2022-04-07,0915,Cayuga,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,107.10,INTERFERENCE,4,4,21
2022-04-07,0730,Cayuga,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,107.10,INTERFERENCE,5,5,90
2022-04-07,0605,Clinton,3,113.10,WEAPON,114.10,SMUGGLING,,,2,2,90
2022-04-07,1200,Clinton,3,114.10,SMUGGLING,113.33,DRUG POSSES,,,2,2,15
2022-04-07,0740,Clinton,3,101.20,LEWD CONDUCT,107.11,HARASSMENT,,,2,2,30
2022-04-07,2120,Collins,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,,,2,2,120
2022-04-07,1345,Collins,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,107.10,INTERFERENCE,5,5,45
2022-04-07,2015,Collins,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,30
2022-04-07,2015,Collins,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,10
2022-04-07,0100,Elmira,3,100.11,ASSAULT ON STAFF,113.10,WEAPON,118.22,UNHYGIENIC ACT,13,13,730
2022-04-07,2045,Elmira,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,120
2022-04-07,1357,Five Points,3,102.10,THREATS,106.10,DIRECT ORDER,104.13,CREATE DISTURB,6,6,90
2022-04-07,1010,Great Meadow,3,113.10,WEAPON,113.11,ALTERED ITEM,,,2,2,163
2022-04-07,0815,Great Meadow,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,8,8,270
2022-04-07,1845,Great Meadow,3,102.10,THREATS,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,3,3,20
2022-04-07,1310,Green Haven,3,113.10,WEAPON,114.10,SMUGGLING,,,3,2,124
2022-04-07,2100,Groveland,3,101.10,SEX OFFENSE,,,,,1,1,30
2022-04-07,0620,Marcy,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,6,6,59
2022-04-07,1205,Mohawk,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,3,3,60
2022-04-07,1205,Mohawk,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,3,3,120
2022-04-07,1055,Riverview,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,114.10,SMUGGLING,5,4,150
2022-04-07,0939,Ulster,3,114.10,SMUGGLING,113.23,CONTRABAND,103.20,SOLICITING,4,4,60
2022-04-07,1930,Ulster,3,114.10,SMUGGLING,113.23,CONTRABAND,,,2,2,3
2022-04-07,1300,Upstate,3,102.10,THREATS,104.12,DEMONSTRATION,106.10,DIRECT ORDER,5,5,124
2022-04-08,1416,Attica,3,113.10,WEAPON,114.10,SMUGGLING,,,2,2,179
2022-04-08,0940,Attica,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,90
2022-04-08,2140,Attica,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,30
2022-04-08,0940,Attica,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,4,95
2022-04-08,2130,Attica,3,100.10,ASSAULT ON INMATE,100.11,ASSAULT ON STAFF,100.13,FIGHTING,6,6,59
2022-04-08,0940,Attica,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,59
2022-04-08,1600,Bare Hill,3,114.10,SMUGGLING,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,4,4,120
2022-04-08,1235,Cayuga,3,102.10,THREATS,104.11,VIOLENT CONDUCT,107.11,HARASSMENT,7,6,45
2022-04-08,2030,Clinton,3,101.10,SEX OFFENSE,101.22,STALKING,107.11,HARASSMENT,3,3,60
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-08,1800,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,3,90
2022-04-08,1200,Clinton,3,114.10,SMUGGLING,113.33,DRUG POSSES,,,2,2,90
2022-04-08,1800,Clinton,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,7,7,270
2022-04-08,1800,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,3,90
2022-04-08,1800,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,3,90
2022-04-08,1800,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,3,90
2022-04-08,1800,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,90
2022-04-08,1800,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,100
2022-04-08,0830,Coxsackie,3,113.10,WEAPON,,,,,1,1,270
2022-04-08,1440,Eastern,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,180
2022-04-08,0700,Elmira,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,6,5,120
2022-04-08,1200,Fishkill,3,114.10,SMUGGLING,113.33,DRUG POSSES,,,2,2,30
2022-04-08,1415,Five Points,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,4,180
2022-04-08,1415,Five Points,3,104.11,VIOLENT CONDUCT,,,,,4,1,30
2022-04-08,0840,Gouverneur,3,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,116.10,LOSS/DAMAGE PROP,3,3,30
2022-04-08,1748,Great Meadow,3,113.10,WEAPON,114.10,SMUGGLING,106.10,DIRECT ORDER,6,5,200
2022-04-08,2045,Great Meadow,3,113.10,WEAPON,114.10,SMUGGLING,113.23,CONTRABAND,4,4,185
2022-04-08,1155,Greene,3,102.10,THREATS,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,4,3,90
2022-04-08,1156,Greene,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,210
2022-04-08,1455,Groveland,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,109.12,MOVEMENT VIO,3,3,47
2022-04-08,1302,Mohawk,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,60
2022-04-08,0935,Mohawk,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,107.10,INTERFERENCE,4,4,30
2022-04-08,1626,Orleans,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,15
2022-04-08,1100,Orleans,3,114.10,SMUGGLING,113.23,CONTRABAND,,,3,2,45
2022-04-08,1645,Orleans,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,2,2,11
2022-04-08,1626,Orleans,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,15
2022-04-08,0715,Orleans,3,102.10,THREATS,106.10,DIRECT ORDER,107.10,INTERFERENCE,5,5,90
2022-04-08,0742,Shawangunk,3,100.11,ASSAULT ON STAFF,102.10,THREATS,104.11,VIOLENT CONDUCT,5,5,160
2022-04-08,1220,Shawangunk,3,113.10,WEAPON,100.13,FIGHTING,,,4,2,120
2022-04-08,1235,Sullivan,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,365
2022-04-08,1530,Sullivan,3,118.22,UNHYGIENIC ACT,102.10,THREATS,104.11,VIOLENT CONDUCT,8,7,120
2022-04-08,1700,Wende,3,102.10,THREATS,104.11,VIOLENT CONDUCT,105.13,GANGS,8,7,86
2022-04-08,1116,Wyoming,3,113.33,DRUG POSSES,113.23,CONTRABAND,,,2,2,60
2022-04-08,0744,Wyoming,3,114.10,SMUGGLING,113.34,DRUG USE,113.23,CONTRABAND,5,4,90
2022-04-09,1632,Attica,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,64
2022-04-09,1632,Attica,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,29
2022-04-09,1145,Auburn,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,6,6,102
2022-04-09,1540,Auburn,3,113.10,WEAPON,114.10,SMUGGLING,113.11,ALTERED ITEM,3,3,365
2022-04-09,0800,Auburn,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,6,6,365
2022-04-09,0910,Clinton,3,100.13,FIGHTING,106.10,DIRECT ORDER,,,3,2,60
2022-04-09,0910,Clinton,3,100.13,FIGHTING,106.10,DIRECT ORDER,104.13,CREATE DISTURB,3,3,90
2022-04-09,0910,Clinton,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,106.10,DIRECT ORDER,5,3,124
2022-04-09,1930,Collins,3,102.10,THREATS,180.10,FACIL VISITING,104.13,CREATE DISTURB,4,3,15
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-09,0845,Elmira,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,3,3,60
2022-04-09,1924,Elmira,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,60
2022-04-09,1625,Five Points,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,90
2022-04-09,0810,Great Meadow,3,100.11,ASSAULT ON STAFF,102.10,THREATS,104.11,VIOLENT CONDUCT,6,6,365
2022-04-09,1400,Great Meadow,3,102.10,THREATS,,,,,2,1,34
2022-04-09,1510,Great Meadow,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,3,180
2022-04-09,1112,Great Meadow,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,107.10,INTERFERENCE,4,4,365
2022-04-09,1430,Great Meadow,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,4,4,200
2022-04-09,1145,Greene,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,109.12,MOVEMENT VIO,3,3,60
2022-04-09,1320,Groveland,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,4,4,50
2022-04-09,1320,Groveland,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,104.11,VIOLENT CONDUCT,6,6,119
2022-04-09,1915,Marcy,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,104.11,VIOLENT CONDUCT,7,7,120
2022-04-09,0730,Orleans,3,114.10,SMUGGLING,113.23,CONTRABAND,,,2,2,15
2022-04-09,0901,Riverview,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,7,5,120
2022-04-09,0905,Sing Sing,3,113.10,WEAPON,113.23,CONTRABAND,,,3,2,210
2022-04-09,0905,Sing Sing,3,114.10,SMUGGLING,113.23,CONTRABAND,,,2,2,60
2022-04-09,1646,Upstate,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,112.22,OBSTRUCT VISIB,3,3,60
2022-04-09,1130,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,90
2022-04-09,1130,Upstate,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,90
2022-04-09,1815,Upstate,3,106.10,DIRECT ORDER,116.13,VANDAL/STEALING,107.10,INTERFERENCE,3,3,30
2022-04-09,1845,Wende,3,102.10,THREATS,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,4,3,45
2022-04-09,0550,Wyoming,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,7,6,270
2022-04-09,1030,Wyoming,3,100.13,FIGHTING,,,,,3,1,15
2022-04-09,1030,Wyoming,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,3,2,119
2022-04-09,1025,Wyoming,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,5,179
2022-04-09,0550,Wyoming,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,29
2022-04-09,1500,Wyoming,3,105.13,GANGS,,,,,1,1,30
2022-04-10,0745,Clinton,3,113.10,WEAPON,113.23,CONTRABAND,,,2,2,180
2022-04-10,1525,Clinton,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,8,7,15
2022-04-10,1920,Five Points,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,120
2022-04-10,1920,Five Points,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,120
2022-04-10,1427,Great Meadow,3,113.10,WEAPON,100.13,FIGHTING,114.10,SMUGGLING,7,5,210
2022-04-10,1427,Great Meadow,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,5,120
2022-04-10,1330,Great Meadow,3,113.10,WEAPON,114.10,SMUGGLING,113.23,CONTRABAND,3,3,210
2022-04-10,1445,Great Meadow,3,113.10,WEAPON,104.13,CREATE DISTURB,,,6,2,150
2022-04-10,0900,Mohawk,3,113.10,WEAPON,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,270
2022-04-10,1745,Shawangunk,3,113.10,WEAPON,,,,,1,1,180
2022-04-10,0823,Sullivan,3,100.11,ASSAULT ON STAFF,113.10,WEAPON,102.10,THREATS,5,5,180
2022-04-10,1822,Washington,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,7,5,123
2022-04-10,1822,Washington,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,6,3,60
2022-04-10,2225,Woodbourne,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,5,90
2022-04-10,2225,Woodbourne,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,5,99
2022-04-10,2305,Wyoming,3,113.10,WEAPON,113.23,CONTRABAND,,,3,2,60
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-10,0845,Wyoming,3,102.10,THREATS,106.10,DIRECT ORDER,107.10,INTERFERENCE,4,4,119
2022-04-11,0830,Auburn,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,90
2022-04-11,0945,Cape Vincent,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,60
2022-04-11,1530,Coxsackie,3,101.22,STALKING,102.10,THREATS,,,6,2,45
2022-04-11,1330,Coxsackie,3,101.20,LEWD CONDUCT,104.13,CREATE DISTURB,,,2,2,45
2022-04-11,1745,Coxsackie,3,113.10,WEAPON,113.11,ALTERED ITEM,,,3,2,120
2022-04-11,1930,Elmira,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,120
2022-04-11,1052,Gouverneur,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,90
2022-04-11,1052,Gouverneur,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,100
2022-04-11,0955,Gouverneur,3,113.10,WEAPON,,,,,1,1,90
2022-04-11,1825,Gouverneur,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,20
2022-04-11,1825,Gouverneur,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,45
2022-04-11,1315,Great Meadow,3,106.10,DIRECT ORDER,101.20,LEWD CONDUCT,,,2,2,120
2022-04-11,1205,Great Meadow,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,60
2022-04-11,1205,Great Meadow,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,30
2022-04-11,0955,Great Meadow,3,100.11,ASSAULT ON STAFF,118.22,UNHYGIENIC ACT,106.10,DIRECT ORDER,5,5,90
2022-04-11,0930,Great Meadow,3,101.20,LEWD CONDUCT,107.10,INTERFERENCE,104.13,CREATE DISTURB,3,3,45
2022-04-11,1945,Great Meadow,3,118.22,UNHYGIENIC ACT,107.10,INTERFERENCE,104.13,CREATE DISTURB,5,3,60
2022-04-11,1805,Greene,3,113.10,WEAPON,113.23,CONTRABAND,113.11,ALTERED ITEM,3,3,80
2022-04-11,2158,Greene,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,100.13,FIGHTING,6,6,100
2022-04-11,0230,Groveland,3,102.10,THREATS,107.11,HARASSMENT,109.12,MOVEMENT VIO,5,5,60
2022-04-11,0800,Lakeview,3,118.22,UNHYGIENIC ACT,114.10,SMUGGLING,115.10,SEARCH/FRISK,5,5,90
2022-04-11,2015,Marcy,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,6,6,30
2022-04-11,2015,Mid-State,3,113.10,WEAPON,114.10,SMUGGLING,113.23,CONTRABAND,4,3,75
2022-04-11,1420,Mid-State,3,113.10,WEAPON,113.11,ALTERED ITEM,,,2,2,90
2022-04-11,1915,Mid-State,3,100.10,ASSAULT ON INMATE,100.13,FIGHTING,104.11,VIOLENT CONDUCT,6,5,119
2022-04-11,1915,Mid-State,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,10
2022-04-11,2010,Mohawk,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,45
2022-04-11,2010,Mohawk,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,30
2022-04-11,1655,Upstate,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,4,3,60
2022-04-11,1055,Woodbourne,3,100.11,ASSAULT ON STAFF,102.10,THREATS,107.10,INTERFERENCE,4,3,120
2022-04-11,1135,Woodbourne,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,107.10,INTERFERENCE,4,3,180
2022-04-12,1425,Albion,3,102.10,THREATS,106.10,DIRECT ORDER,104.13,CREATE DISTURB,5,4,14
2022-04-12,1025,Auburn,3,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,106.10,DIRECT ORDER,6,5,90
2022-04-12,0900,Auburn,3,113.23,CONTRABAND,,,,,2,1,1
2022-04-12,2136,Bare Hill,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,5,2,90
2022-04-12,0915,Cape Vincent,3,113.10,WEAPON,113.23,CONTRABAND,113.11,ALTERED ITEM,3,3,180
2022-04-12,0825,Cape Vincent,3,113.10,WEAPON,113.23,CONTRABAND,113.11,ALTERED ITEM,4,3,90
2022-04-12,1045,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,2,2,45
2022-04-12,1730,Clinton,3,102.10,THREATS,107.10,INTERFERENCE,107.11,HARASSMENT,3,3,45
2022-04-12,1810,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,60
2022-04-12,0910,Collins,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,109.12,MOVEMENT VIO,3,3,60
2022-04-12,0910,Collins,3,106.10,DIRECT ORDER,107.10,INTERFERENCE,109.12,MOVEMENT VIO,3,3,15
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,4,3,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,4,3,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,105.10,UNAUTH ASSMEBLY,4,4,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,4,3,90
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,105.10,UNAUTH ASSMEBLY,4,4,45
2022-04-12,1450,Coxsackie,3,104.12,DEMONSTRATION,114.10,SMUGGLING,106.10,DIRECT ORDER,8,7,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,4,3,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,4,3,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,105.10,UNAUTH ASSMEBLY,4,4,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,,,4,2,90
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,105.10,UNAUTH ASSMEBLY,4,4,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,105.10,UNAUTH ASSMEBLY,4,4,45
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,105.10,UNAUTH ASSMEBLY,4,4,60
2022-04-12,1530,Coxsackie,3,104.12,DEMONSTRATION,106.10,DIRECT ORDER,109.12,MOVEMENT VIO,4,3,45
2022-04-12,1110,Elmira,3,113.10,WEAPON,,,,,1,1,180
2022-04-12,1140,Five Points,3,100.11,ASSAULT ON STAFF,104.11,VIOLENT CONDUCT,,,2,2,30
2022-04-12,1130,Five Points,3,102.10,THREATS,102.10,THREATS,104.11,VIOLENT CONDUCT,15,14,120
2022-04-12,1415,Franklin,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,120
2022-04-12,1540,Franklin,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,2,2,90
2022-04-12,1335,Great Meadow,3,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,104.13,CREATE DISTURB,3,3,120
2022-04-12,0750,Great Meadow,3,100.10,ASSAULT ON INMATE,113.10,WEAPON,104.11,VIOLENT CONDUCT,3,3,150
2022-04-12,2055,Great Meadow,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,2
2022-04-12,2055,Great Meadow,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,,,3,2,45
2022-04-12,2055,Great Meadow,3,100.10,ASSAULT ON INMATE,104.11,VIOLENT CONDUCT,104.13,CREATE DISTURB,3,3,120
2022-04-12,0630,Greene,3,118.22,UNHYGIENIC ACT,104.11,VIOLENT CONDUCT,115.10,SEARCH/FRISK,6,6,90
2022-04-12,0630,Greene,3,102.10,THREATS,104.11,VIOLENT CONDUCT,104.12,DEMONSTRATION,6,6,180
