Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
2022-06-01,2220 Marcy,,3 114.10 SMUGGLING 106.10 DIRECT ORDER 113.23 CONTRABAND 3,3.0,273
2022-06-01,1015 Marcy,,3 118.22 UNHYGIENIC ACT 114.10 SMUGGLING 106.10 DIRECT ORDER 6,6.0,120
2022-06-01,1150 Mid-State,,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 4,4.0,30
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - June 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of July 1, 2022",,
Date,Time Facility,,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-06-01,1353 Upstate,,3 100.11 ASSAULT ON STAFF 100.13 FIGHTING 104.11 VIOLENT CONDUCT 7,6.0,30
2022-06-01,1345 Upstate,,3 104.11 VIOLENT CONDUCT 4,1.0,14
2022-06-01,920 Upstate,,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 2,2.0,45
2022-06-01,935 Upstate,,3 100.13 FIGHTING 105.13 GANGS 2,2.0,30
2022-06-01,1000 Upstate,,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,60
2022-06-01,935 Upstate,,3 100.13 FIGHTING 105.13 GANGS 106.10 DIRECT ORDER 8,4.0,10
2022-06-01,1054 Washington,,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120
2022-06-01,2005 Wende,,3 106.10 DIRECT ORDER 108.15 ABSCONDENCE 108.14 TEMP RELEASE 3,3.0,30
2022-06-01,1350 Woodbourne,,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,59
2022-06-01,1350 Woodbourne,,3 100.13 FIGHTING 106.10 DIRECT ORDER 104.13 CREATE DISTURB 5,3.0,14
2022-06-01,2000 Wyoming,,3 102.10 THREATS 3,1.0,30
2022-06-01,740 Wyoming,,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 5,5.0,60
2022-06-02,930 Attica,,3 102.10 THREATS 104.11 VIOLENT CONDUCT 2,2.0,30
2022-06-02,1315 Clinton,,3 113.10 WEAPON 114.10 SMUGGLING 2,2.0,120
2022-06-02,1005 Eastern,,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,180
2022-06-02,1600 Elmira,,3 113.10 WEAPON 114.10 SMUGGLING 2,2.0,40
2022-06-02,725 Fishkill,,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 5,5.0,100
2022-06-02,2015 Fishkill,,3 113.10 WEAPON 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,3.0,164
2022-06-02,1814 Fishkill,,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,120
2022-06-02,1220 Five Points,,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,270
