Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
2022-11-02,2200,Fishkill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,30
2022-11-02,840,Great Meadow,3 113.10 WEAPON 101.22 STALKING 114.10 SMUGGLING 4,4.0,117
2022-11-02,1330,Green Haven,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 9,7.0,14
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - November 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of December 5, 2022",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-11-02,1820,Green Haven,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 4,4.0,125
2022-11-02,900,Greene,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,270
2022-11-02,1510,Marcy,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60
2022-11-02,1240,Mohawk,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 2,2.0,58
2022-11-02,2050,Mohawk,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.13 CREATE DISTURB 4,4.0,190
2022-11-02,915,Mohawk,3 113.10 WEAPON 113.23 CONTRABAND 113.31 ALCOLHOL USE 4,4.0,90
2022-11-02,840,Mohawk,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,124
2022-11-02,1455,Sing Sing,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,5.0,730
2022-11-02,1040,Sing Sing,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,150
2022-11-02,1005,Sullivan,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 118.22 UNHYGIENIC ACT 11,11.0,180
2022-11-02,1720,Ulster,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 4,4.0,266
2022-11-02,1835,Ulster,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,180
2022-11-02,925,Wallkill,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,35
2022-11-02,1300,Wallkill,3 104.11 VIOLENT CONDUCT 4,1.0,35
2022-11-02,1640,Washington,3 113.10 WEAPON 3,1.0,30
2022-11-03,1915,Attica,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 7,7.0,119
2022-11-03,2200,Attica,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 6,6.0,179
2022-11-03,845,Auburn,3 102.10 THREATS 104.11 VIOLENT CONDUCT 2,2.0,180
2022-11-03,820,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,90
2022-11-03,650,Cayuga,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 118.33 FLOODING 3,3.0,60
2022-11-03,1410,Clinton,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,85
2022-11-03,1435,Collins,3 113.10 WEAPON 105.13 GANGS 3,2.0,30
2022-11-03,1715,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,77
2022-11-03,1715,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120
2022-11-03,1252,Fishkill,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 2,2.0,60
2022-11-03,955,Fishkill,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,270
2022-11-03,915,Five Points,3 118.22 UNHYGIENIC ACT 118.33 FLOODING 2,2.0,180
2022-11-03,1045,Five Points,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 7,5.0,75
2022-11-03,1015,Five Points,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,90
2022-11-03,1000,Five Points,3 100.10 ASSAULT ON INCAR INDIV 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 6,6.0,45
2022-11-03,1015,Five Points,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,30
2022-11-03,1000,Five Points,3 100.10 ASSAULT ON INCAR INDIV 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 6,6.0,60
2022-11-03,1015,Five Points,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,90
2022-11-03,1015,Five Points,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,180
2022-11-03,1015,Five Points,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,90
2022-11-03,2015,Franklin,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,112
2022-11-03,1320,Great Meadow,3 102.10 THREATS 107.10 INTERFERENCE 104.13 CREATE DISTURB 4,4.0,30
2022-11-03,1715,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90
2022-11-03,800,Great Meadow,3 101.20 LEWD CONDUCT 3,1.0,180
2022-11-03,1715,Great Meadow,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,60
2022-11-03,1750,Great Meadow,3 118.22 UNHYGIENIC ACT 107.10 INTERFERENCE 2,2.0,90
2022-11-03,845,Green Haven,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,103
2022-11-03,1930,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 106.10 DIRECT ORDER 2,2.0,215
2022-11-03,1739,Greene,3 100.11 ASSAULT ON STAFF 102.10 THREATS 104.13 CREATE DISTURB 4,3.0,60
2022-11-03,1520,Groveland,3 102.10 THREATS 104.13 CREATE DISTURB 107.11 HARASSMENT 6,6.0,60
2022-11-03,1435,Mohawk,3 102.10 THREATS 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 5,5.0,90
2022-11-03,1345,Mohawk,3 102.10 THREATS 104.11 VIOLENT CONDUCT 107.11 HARASSMENT 5,5.0,90
2022-11-03,840,Sing Sing,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,13
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - November 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of December 5, 2022",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-11-03,1735,Sing Sing,3 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 107.10 INTERFERENCE 6,5.0,30
2022-11-03,1220,Sullivan,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 4,4.0,365
2022-11-03,1425,Sullivan,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90
2022-11-03,1040,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 2,2.0,30
2022-11-03,1140,Upstate,3 102.10 THREATS 1,1.0,150
2022-11-03,1040,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 2,2.0,15
2022-11-03,840,Wende,3 105.13 GANGS 114.10 SMUGGLING 113.34 DRUG USE 11,6.0,86
2022-11-03,840,Wende,3 100.13 FIGHTING 102.10 THREATS 104.11 VIOLENT CONDUCT 8,7.0,35
2022-11-03,830,Woodbourne,3 114.10 SMUGGLING 113.23 CONTRABAND 113.31 ALCOLHOL USE 3,3.0,30
2022-11-03,1016,Wyoming,3 114.10 SMUGGLING 113.33 DRUG POSSES 113.23 CONTRABAND 3,3.0,35
2022-11-03,1950,Wyoming,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 9,9.0,180
2022-11-04,1605,Attica,3 102.10 THREATS 107.11 HARASSMENT 2,2.0,120
2022-11-04,900,Attica,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 8,8.0,34
2022-11-04,1205,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,34
2022-11-04,1030,Eastern,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,180
2022-11-04,1710,Fishkill,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,365
2022-11-04,1200,Franklin,3 114.10 SMUGGLING 113.33 DRUG POSSES 3,2.0,37
2022-11-04,1630,Gouverneur,3 102.10 THREATS 104.11 VIOLENT CONDUCT 2,2.0,60
2022-11-04,2035,Great Meadow,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 11,11.0,365
2022-11-04,915,Great Meadow,3 113.10 WEAPON 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,4.0,270
2022-11-04,1100,Marcy,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 4,4.0,200
2022-11-04,1725,Marcy,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60
2022-11-04,1201,Mid-State,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,34
2022-11-04,1905,Orleans,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,40
2022-11-04,945,Upstate,3 102.10 THREATS 107.10 INTERFERENCE 104.13 CREATE DISTURB 4,4.0,270
2022-11-04,950,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 3,3.0,45
2022-11-04,445,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,3.0,90
2022-11-04,950,Upstate,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 3,3.0,30
2022-11-04,1920,Wyoming,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,20
2022-11-05,1340,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,34
2022-11-05,1404,Attica,3 102.10 THREATS 114.10 SMUGGLING 106.10 DIRECT ORDER 4,4.0,44
2022-11-05,2035,Eastern,3 113.10 WEAPON 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 5,5.0,270
2022-11-05,1335,Great Meadow,3 113.10 WEAPON 3,1.0,210
2022-11-05,1805,Great Meadow,3 118.22 UNHYGIENIC ACT 107.10 INTERFERENCE 4,2.0,60
2022-11-05,811,Great Meadow,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 7,3.0,180
2022-11-05,800,Great Meadow,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,3.0,120
2022-11-05,1926,Greene,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,6.0,92
2022-11-05,1300,Greene,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,5.0,12
2022-11-05,745,Mid-State,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,50
2022-11-05,1200,Mohawk,3 105.13 GANGS 1,1.0,30
2022-11-05,1815,Mohawk,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,5.0,30
2022-11-05,1005,Sullivan,3 114.10 SMUGGLING 180.10 FACIL VISITING 113.23 CONTRABAND 6,6.0,60
2022-11-05,820,Ulster,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,90
2022-11-05,1320,Ulster,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,144
2022-11-05,5,Upstate,3 102.10 THREATS 106.10 DIRECT ORDER 107.11 HARASSMENT 4,4.0,60
2022-11-05,1630,Upstate,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,30
2022-11-05,1300,Woodbourne,3 101.22 STALKING 101.22 STALKING 102.10 THREATS 18,17.0,90
2022-11-06,2155,Altona,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 106.10 DIRECT ORDER 8,5.0,30
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - November 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of December 5, 2022",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-11-06,1010,Attica,3 107.10 INTERFERENCE 104.13 CREATE DISTURB 107.11 HARASSMENT 4,3.0,2
2022-11-06,1040,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,105
2022-11-06,1040,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,3
2022-11-06,2020,Clinton,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 3,2.0,60
2022-11-06,1445,Fishkill,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 102.10 THREATS 8,8.0,120
2022-11-06,2015,Five Points,3 105.13 GANGS 114.10 SMUGGLING 113.34 DRUG USE 4,4.0,30
2022-11-06,1335,Five Points,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 5,5.0,60
2022-11-06,2235,Gouverneur,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 2,2.0,42
2022-11-06,1635,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,113
2022-11-06,1410,Great Meadow,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 8,8.0,90
2022-11-06,1240,Great Meadow,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,17
2022-11-06,820,Great Meadow,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,58
2022-11-06,1830,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 8,6.0,255
2022-11-06,1830,Green Haven,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 7,7.0,214
2022-11-06,1418,Greene,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,730
2022-11-06,325,Marcy,3 106.10 DIRECT ORDER 101.20 LEWD CONDUCT 107.10 INTERFERENCE 4,4.0,60
2022-11-06,1710,Mid-State,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 4,4.0,215
2022-11-06,0,Mid-State,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,2
2022-11-06,120,Mid-State,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,53
2022-11-06,1140,Mohawk,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 4,4.0,210
2022-11-06,1745,Sullivan,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 3,3.0,365
2022-11-06,1640,Washington,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,358
2022-11-06,1640,Washington,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,92
2022-11-07,1840,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 6,5.0,45
2022-11-07,1100,Auburn,3 101.20 LEWD CONDUCT 112.21 COMP COUNT PROCEDURE 5,2.0,11
2022-11-07,1540,Cape Vincent,3 101.10 SEX OFFENSE 102.10 THREATS 107.11 HARASSMENT 3,3.0,60
2022-11-07,2000,Cayuga,3 102.10 THREATS 103.10 BRIBERY/EXTORTION 103.20 SOLICITING 5,5.0,90
2022-11-07,715,Clinton,3 100.13 FIGHTING 106.10 DIRECT ORDER 104.13 CREATE DISTURB 4,3.0,30
2022-11-07,715,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30
2022-11-07,800,Clinton,3 107.10 INTERFERENCE 104.13 CREATE DISTURB 107.11 HARASSMENT 3,3.0,60
2022-11-07,230,Collins,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,5.0,14
2022-11-07,845,Collins,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,266
2022-11-07,230,Collins,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,2.0,45
2022-11-07,230,Collins,3 104.11 VIOLENT CONDUCT 3,1.0,45
2022-11-07,1745,Fishkill,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,2.0,30
2022-11-07,155,Fishkill,3 100.11 ASSAULT ON STAFF 101.11 FORCIBLE TOUCHING 104.11 VIOLENT CONDUCT 6,4.0,60
2022-11-07,1010,Five Points,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,4.0,92
2022-11-07,1555,Five Points,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 5,5.0,700
2022-11-07,1300,Five Points,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,60
2022-11-07,2125,Franklin,3 100.13 FIGHTING 100.13 FIGHTING 104.11 VIOLENT CONDUCT 8,8.0,86
2022-11-07,1940,Franklin,3 113.10 WEAPON 113.31 ALCOLHOL USE 113.11 ALTERED ITEM 6,4.0,93
2022-11-07,1025,Gouverneur,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30
2022-11-07,1830,Gouverneur,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,21
2022-11-07,1150,Gouverneur,3 113.10 WEAPON 105.13 GANGS 114.10 SMUGGLING 4,4.0,269
2022-11-07,1830,Gouverneur,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,45
2022-11-07,820,Great Meadow,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,3.0,45
2022-11-07,1230,Great Meadow,3 102.10 THREATS 1,1.0,60
2022-11-07,720,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,30
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - November 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of December 5, 2022",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
