Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-12-03,1025,Collins,3 100.13 FIGHTING 3,1.0,15
2022-12-03,2045,Eastern,3 114.10 SMUGGLING 114.10 SMUGGLING 113.23 CONTRABAND 6,6.0,125
2022-12-03,805,Five Points,3 116.13 VANDAL/STEALING 107.10 INTERFERENCE 104.13 CREATE DISTURB 5,5.0,90
2022-12-03,740,Five Points,3 113.10 WEAPON 106.10 DIRECT ORDER 116.10 LOSS/DAMAGE PROP 5,5.0,93
2022-12-03,913,Gouverneur,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,19
2022-12-03,900,Great Meadow,3 101.22 STALKING 114.10 SMUGGLING 107.11 HARASSMENT 7,6.0,90
2022-12-03,1245,Great Meadow,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,120
2022-12-03,1221,Marcy,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 3,3.0,365
2022-12-03,2055,Washington,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,79
2022-12-03,1005,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 5,3.0,49
2022-12-03,1005,Wende,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 8,4.0,729
2022-12-04,2120,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,44
2022-12-04,2120,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,15
2022-12-04,5,Altona,3 101.10 SEX OFFENSE 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,89
2022-12-04,1655,Attica,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,30
2022-12-04,1200,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,49
2022-12-04,1200,Bare Hill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,17
2022-12-04,1540,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,3.0,30
2022-12-04,1500,Collins,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.10 OUT OF PLACE 4,3.0,2
2022-12-04,1305,Five Points,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,365
2022-12-04,2030,Five Points,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 4,4.0,211
2022-12-04,2330,Franklin,3 102.10 THREATS 1,1.0,60
2022-12-04,1115,Great Meadow,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,4.0,730
2022-12-04,815,Great Meadow,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 7,5.0,30
2022-12-04,1830,Great Meadow,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 107.10 INTERFERENCE 8,4.0,30
2022-12-04,1710,Groveland,3 113.10 WEAPON 113.23 CONTRABAND 113.32 ALCOLHOL/DRUG DIST 4,4.0,269
2022-12-04,1308,Mohawk,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 5,5.0,120
2022-12-04,1958,Mohawk,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,5.0,60
