Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2022-09-02,840,Franklin,3 102.10 THREATS 106.10 DIRECT ORDER 2,2.0,55,,,,,,,
2022-09-02,2100,Gouverneur,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,15,,,,,,,
2022-09-02,1100,Green Haven,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,153,,,,,,,
2022-09-02,1916,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 7,3.0,30,,,,,,,
2022-09-02,1916,Greene,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 7,7.0,150,,,,,,,
2022-09-02,1530,Lakeview,3 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 104.13 CREATE DISTURB 5,3.0,89,,,,,,,
2022-09-02,1938,Marcy,3 114.10 SMUGGLING 103.20 SOLICITING 3,2.0,270,,,,,,,
2022-09-02,1345,Upstate,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,60,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - September 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of October 3, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-09-02,1025,Upstate,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,2.0,45,,,,,,,
2022-09-02,2115,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 2,2.0,60,,,,,,,
2022-09-02,900,Washington,3 105.13 GANGS 1,1.0,90,,,,,,,
2022-09-02,1630,Washington,3 102.10 THREATS 104.11 VIOLENT CONDUCT 181.10 HEARING DISP 5,4.0,90,,,,,,,
2022-09-02,900,Washington,3 105.13 GANGS 1,1.0,30,,,,,,,
2022-09-02,1215,Wende,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 7,7.0,60,,,,,,,
2022-09-02,2110,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,50,,,,,,,
2022-09-02,2110,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,190,,,,,,,
2022-09-02,1215,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,50,,,,,,,
2022-09-02,1300,Woodbourne,3 102.10 THREATS 104.11 VIOLENT CONDUCT 103.20 SOLICITING 3,3.0,29,,,,,,,
2022-09-02,1025,Wyoming,3 118.22 UNHYGIENIC ACT 114.10 SMUGGLING 114.10 SMUGGLING 7,7.0,75,,,,,,,
2022-09-02,1240,Wyoming,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 5,5.0,47,,,,,,,
2022-09-03,1220,Auburn,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 6,5.0,60,,,,,,,
2022-09-03,1538,Auburn,3 113.10 WEAPON 113.10 WEAPON 114.10 SMUGGLING 11,11.0,120,,,,,,,
2022-09-03,1948,Auburn,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 4,4.0,71,,,,,,,
2022-09-03,840,Auburn,3 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 2,2.0,75,,,,,,,
2022-09-03,1113,Clinton,3 105.13 GANGS 105.13 GANGS 113.31 ALCOLHOL USE 3,3.0,14,,,,,,,
2022-09-03,1610,Clinton,3 118.22 UNHYGIENIC ACT 104.13 CREATE DISTURB 2,2.0,100,,,,,,,
2022-09-03,2028,Elmira,3 113.10 WEAPON 106.10 DIRECT ORDER 5,2.0,120,,,,,,,
2022-09-03,945,Fishkill,3 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 4,2.0,45,,,,,,,
2022-09-03,1930,Five Points,3 102.10 THREATS 104.11 VIOLENT CONDUCT 105.13 GANGS 7,7.0,120,,,,,,,
2022-09-03,2335,Franklin,3 102.10 THREATS 106.10 DIRECT ORDER 3,2.0,65,,,,,,,
2022-09-03,1315,Gouverneur,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,29,,,,,,,
2022-09-03,1655,Great Meadow,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 9,9.0,135,,,,,,,
2022-09-03,1420,Marcy,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,90,,,,,,,
2022-09-03,1605,Mohawk,3 113.10 WEAPON 102.10 THREATS 104.11 VIOLENT CONDUCT 6,6.0,90,,,,,,,
2022-09-03,140,Ulster,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,180,,,,,,,
2022-09-03,1606,Upstate,3 100.13 FIGHTING 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,3.0,30,,,,,,,
2022-09-03,1210,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 109.12 MOVEMENT VIO 3,3.0,60,,,,,,,
2022-09-03,2100,Wende,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 5,5.0,287,,,,,,,
2022-09-03,2100,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,2,,,,,,,
2022-09-04,2038,Attica,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,59,,,,,,,
2022-09-04,2038,Attica,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,60,,,,,,,
2022-09-04,1750,Attica,3 113.10 WEAPON 1,1.0,102,,,,,,,
2022-09-04,2038,Attica,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,90,,,,,,,
2022-09-04,830,Auburn,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,90,,,,,,,
2022-09-04,2220,Bare Hill,3 100.11 ASSAULT ON STAFF 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,5.0,114,,,,,,,
2022-09-04,725,Clinton,3 101.20 LEWD CONDUCT 1,1.0,30,,,,,,,
2022-09-04,1145,Clinton,3 113.10 WEAPON 113.11 ALTERED ITEM 2,2.0,90,,,,,,,
2022-09-04,835,Fishkill,3 104.11 VIOLENT CONDUCT 3,1.0,11,,,,,,,
2022-09-04,730,Great Meadow,3 101.10 SEX OFFENSE 101.22 STALKING 107.10 INTERFERENCE 5,5.0,180,,,,,,,
2022-09-04,1950,Green Haven,3 113.10 WEAPON 2,1.0,76,,,,,,,
2022-09-04,2238,Greene,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,4.0,120,,,,,,,
2022-09-04,1210,Greene,3 102.10 THREATS 107.11 HARASSMENT 2,2.0,15,,,,,,,
2022-09-04,2238,Greene,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 5,4.0,60,,,,,,,
2022-09-04,2030,Greene,3 102.10 THREATS 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,60,,,,,,,
2022-09-04,1615,Groveland,3 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,15,,,,,,,
2022-09-04,1045,Lakeview,3 102.10 THREATS 106.10 DIRECT ORDER 104.13 CREATE DISTURB 6,4.0,13,,,,,,,
2022-09-04,1355,Marcy,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 2,2.0,30,,,,,,,
2022-09-04,900,Marcy,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,6.0,700,,,,,,,
2022-09-04,1315,Marcy,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,120,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - September 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of October 3, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-09-04,833,Sullivan,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 5,5.0,180,,,,,,,
2022-09-04,1810,Upstate,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,200,,,,,,,
2022-09-04,2105,Wyoming,3 100.13 FIGHTING 104.13 CREATE DISTURB 4,2.0,15,,,,,,,
2022-09-04,2105,Wyoming,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,30,,,,,,,
2022-09-04,2105,Wyoming,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,60,,,,,,,
2022-09-04,2105,Wyoming,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,30,,,,,,,
2022-09-05,1950,Albion,3 114.10 SMUGGLING 113.23 CONTRABAND 113.14 UNAUTH MEDIC 4,4.0,270,,,,,,,
2022-09-05,1238,Attica,3 114.10 SMUGGLING 113.34 DRUG USE 180.11 FACIL CORRESPOND 5,5.0,60,,,,,,,
2022-09-05,1610,Auburn,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,43,,,,,,,
2022-09-05,2035,Clinton,3 118.22 UNHYGIENIC ACT 106.10 DIRECT ORDER 118.33 FLOODING 4,3.0,45,,,,,,,
2022-09-05,2040,Collins,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,2.0,4,,,,,,,
