time,facility,tier,date,g1,g1_label,g2,g2_label,g3,g3_label,tot_infractions,tot_g_infractions,orig_shu_days
1938,Marcy,3,2022-09-02,114.10, SMUGGLING ,103.20, SOLICITING ,,,3,2.0,270
1345,Upstate,3,2022-09-02,102.10, THREATS ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,3,3.0,60
1025,Upstate,3,2022-09-02,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,,,3,2.0,45
2115,Upstate,3,2022-09-02,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,,,2,2.0,60
900,Washington,3,2022-09-02,105.13, GANGS ,,,,,1,1.0,90
1630,Washington,3,2022-09-02,102.10, THREATS ,104.11, VIOLENT CONDUCT ,181.10, HEARING DISP ,5,4.0,90
900,Washington,3,2022-09-02,105.13, GANGS ,,,,,1,1.0,30
1215,Wende,3,2022-09-02,113.10, WEAPON ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,7,7.0,60
2110,Wende,3,2022-09-02,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,50
2110,Wende,3,2022-09-02,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,190
1215,Wende,3,2022-09-02,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,50
1300,Woodbourne,3,2022-09-02,102.10, THREATS ,104.11, VIOLENT CONDUCT ,103.20, SOLICITING ,3,3.0,29
1025,Wyoming,3,2022-09-02,118.22, UNHYGIENIC ACT ,114.10, SMUGGLING ,114.10, SMUGGLING ,7,7.0,75
1240,Wyoming,3,2022-09-02,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,107.10, INTERFERENCE ,5,5.0,47
1220,Auburn,3,2022-09-03,102.10, THREATS ,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,6,5.0,60
1538,Auburn,3,2022-09-03,113.10, WEAPON ,113.10, WEAPON ,114.10, SMUGGLING ,11,11.0,120
1948,Auburn,3,2022-09-03,113.10, WEAPON ,114.10, SMUGGLING ,113.23, CONTRABAND ,4,4.0,71
840,Auburn,3,2022-09-03,118.22, UNHYGIENIC ACT ,104.11, VIOLENT CONDUCT ,,,2,2.0,75
1113,Clinton,3,2022-09-03,105.13, GANGS ,105.13, GANGS ,113.31, ALCOLHOL USE ,3,3.0,14
1610,Clinton,3,2022-09-03,118.22, UNHYGIENIC ACT ,104.13, CREATE DISTURB ,,,2,2.0,100
2028,Elmira,3,2022-09-03,113.10, WEAPON ,106.10, DIRECT ORDER ,,,5,2.0,120
945,Fishkill,3,2022-09-03,100.11, ASSAULT ON STAFF ,106.10, DIRECT ORDER ,,,4,2.0,45
1930,Five Points,3,2022-09-03,102.10, THREATS ,104.11, VIOLENT CONDUCT ,105.13, GANGS ,7,7.0,120
2335,Franklin,3,2022-09-03,102.10, THREATS ,106.10, DIRECT ORDER ,,,3,2.0,65
